dataset,metric,lr,mlp,cpd,mba,tt,tr,rf
three_of_nine,test_balanced_acc,0.8105661153793335,0.952817964553833,0.8129445433616638,0.923075008392334,0.5,0.9167213678359986,0.9579246946444009
vehicle,test_balanced_acc,0.8133333325386047,0.8583333492279053,0.7883333325386047,0.7933333396911622,0.6383333325386047,0.8383333325386048,0.78
xd6,test_balanced_acc,0.767542016506195,1.0,0.9499246001243591,1.0,0.5,1.0,1.0
AVERAGE,test_balanced_acc,0.6759865898278451,0.737277576375392,0.7420287287042986,0.7442448791861535,0.5289752699675099,0.7619751678359125,0.7561905901211471
asia_lung,test_loss,0.0051679922733455395,0.00335647235624486,0.00317347722593688,0.00271047203568738,0.026634743704926182,0.00525685892207542,
balance_scale,test_loss,0.41833414435386657,0.0830199353396892,0.1858165472745895,0.42294517159461975,0.39620102047920225,0.2556964308023452,
car_evaluation,test_loss,0.3060137629508972,0.0481675580143928,0.12856676131486888,0.12881799489259715,0.09164403416216366,0.07289904244244093,
census_income_kdd,test_loss,0.12402146011590953,0.11811461150646203,0.1270282745361328,0.12651212066411968,0.15425529330968857,0.12669255286455153,
cleveland,test_loss,1.0361380100250244,1.0364989280700683,1.0484115481376648,1.0724988341331483,1.133141779899597,1.0358482241630553,
conf_ad,test_loss,0.39927217960357664,0.3853376746177673,0.42348921298980713,0.39305047392845155,0.6079847931861877,0.4800394117832184,
connect_4,test_loss,0.6063259959220886,0.3804612815380096,0.4796667158603668,0.5327966034412384,0.844632339477539,0.39599739313125604,
coronary,test_loss,0.4069801330566406,0.40413689613342285,0.40745882987976073,0.4061592936515808,0.40789632201194764,0.4055808663368225,
credit_approval,test_loss,0.53427734375,0.6000580549240112,0.3385199666023254,0.325324684381485,0.688343632221222,0.3108555316925049,
dmft,test_loss,1.5901846408843994,1.6089208364486693,1.627751088142395,1.5950506687164308,1.6087823390960694,1.5974588632583617,
german_gss,test_loss,0.2892300188541412,0.3876512497663498,0.24235004484653472,0.1984675586223602,0.4296941041946411,0.25090227127075193,
hayesroth,test_loss,0.7836749911308288,0.775295513868332,0.7351656019687652,0.5360423564910889,0.8084359645843506,0.4165595054626465,
house_votes_84,test_loss,0.3171445801854133,0.10966411456465716,0.165044629573822,0.1281361356377601,0.6697752952575684,0.1357093408703804,
krkopt,test_loss,1.6415430307388306,0.439676308631897,0.7157107353210449,0.7778374910354614,1.0368820190429688,0.634264349937439,
led7,test_loss,0.7958414554595947,0.8188000798225403,0.7939592719078064,0.7994423985481263,0.9404174089431763,0.7980611085891723,
mofn,test_loss,0.07590456604957578,0.0,0.00548496376723046,0.01067249570041888,0.5329159736633301,3.5378771201521886e-06,
nursery,test_loss,0.18037430346012112,0.0013182418668293075,0.0019762428943067003,0.00779513455927366,1.188654351234436,3.374722400621977e-05,
parity5p5,test_loss,0.7029582619667053,0.2813158459455479,0.7097654223442078,0.6942713975906372,0.693147611618042,0.6998974084854126,
phiusiil_phishing,test_loss,0.0046015798579901,0.0008934108409448,0.0005568405642406599,0.00021538691071322768,0.51262426818721,0.00053095122566444,
ppd,test_loss,0.6080989122390748,0.742526113986969,0.7258934020996094,0.6016714572906494,0.5954304933547974,0.6565775632858276,
primary_tumor,test_loss,1.4770014762878418,1.6092972993850707,1.4629096508026123,1.4356701135635377,2.23693470954895,1.4394640684127809,
ptumor,test_loss,0.39894847869873046,0.426192444562912,0.4455720245838165,0.38311192989349363,0.5653066277503968,0.38639085292816155,
rt_iot2022,test_loss,2949.859619140625,0.5952796816825867,0.012306468794122276,,0.01460535936057562,0.0167899284511804,
secondary_mushroom,test_loss,0.3194709122180938,2.0198450175712424e-05,0.0005115376407047199,7.718702108831693e-05,0.687104344367981,6.971575772922265e-05,
sensorless_drive,test_loss,0.8876880884170533,0.16365610510110856,0.05921983793377874,0.03716022223234172,2.3978953838348387,0.03980454280972476,
sensory,test_loss,0.6520357966423035,0.6758340001106262,0.6755733728408814,0.6170772194862366,0.6816644906997681,0.6576463580131531,
shuttle,test_loss,0.20951206088066096,0.08059648722410195,0.008882051147520501,0.00848658643662924,0.6657283782958985,0.009974374994635521,
skin_segmentation,test_loss,0.24669753760099408,0.00292673520743842,0.02267747484147542,0.02257923148572438,0.0230497503653168,0.02240901254117482,
three_of_nine,test_loss,0.4147641479969025,0.11710923723876474,0.44345195293426515,0.18705010712146755,0.6917561650276184,0.1920176893472671,
vehicle,test_loss,0.43745733201503756,1.3442441225401125,0.7736769825220108,0.455253404378891,1.0904616475105287,2.460588913410902,
xd6,test_loss,0.4052294135093689,5.22871221519801e-05,0.1330003190785646,0.059263220429420435,0.6370656371116639,2.6240198440063978e-05,
AVERAGE,test_loss,95.68175844347645,0.4271103782860598,0.4162442338829409,0.3988715783958226,0.7438408477904065,0.43561440827387754,
asia_lung,test_macro_f1,0.9979614734649658,0.9979614734649658,0.9969422101974488,0.9979614734649658,0.9979614734649658,0.9969599127769471,0.9979614588310239
balance_scale,test_macro_f1,0.601224148273468,0.9518901109695435,0.8008753895759583,0.6147908568382263,0.6608306050300599,0.6732853770256042,0.5861307212808461
car_evaluation,test_macro_f1,0.6560762405395508,0.973914361000061,0.8771490335464478,0.8823862791061401,0.9198332667350769,0.9348540544509888,0.924664178747378
census_income_kdd,test_macro_f1,0.742353105545044,0.7597354650497437,0.725732958316803,0.732633626461029,0.6665848791599274,0.7346744060516357,0.7630135359540813
cleveland,test_macro_f1,0.28727527260780333,0.15357660651206967,0.2909585446119308,0.22831018567085262,0.140795823931694,0.3001102209091186,0.2263698189485816
conf_ad,test_macro_f1,0.463196337223053,0.466118711233139,0.466118711233139,0.5172298192977905,0.5168446481227875,0.514219981431961,0.4569990985625291
connect_4,test_macro_f1,0.5039005994796752,0.704779326915741,0.6190592646598816,0.6317949414253234,0.26465086340904237,0.7085057020187377,0.6056667926451046
coronary,test_macro_f1,0.4620164155960082,0.4620164155960082,0.4620164155960082,0.4620164155960082,0.4620164155960082,0.4620164155960082,0.4971846212339973
credit_approval,test_macro_f1,0.7107508599758148,0.7213231801986695,0.8638843059539795,0.8625109553337097,0.3566416203975677,0.8707521438598633,0.8812651684325387
dmft,test_macro_f1,0.22588315010070797,0.15626384168863294,0.22142088115215297,0.20358647704124447,0.09100467264652247,0.21780338585376735,0.237999532596388
german_gss,test_macro_f1,0.7991990447044373,0.8512804746627808,0.8416131734848022,0.8629174113273621,0.8522347331047058,0.8680335998535156,0.8251320089565851
hayesroth,test_macro_f1,0.5878190755844116,0.5481833145022392,0.6906622558832168,0.7503141164779663,0.6306530833244324,0.780670440196991,0.7815295815295815
house_votes_84,test_macro_f1,0.9010030627250671,0.9518500447273255,0.9274983644485474,0.9547868847846985,0.3807799756526947,0.9489577770233154,0.9518552039464737
krkopt,test_macro_f1,0.3955909490585327,0.7523919105529785,0.7434442162513732,0.6944737315177918,0.4976369321346283,0.7710556507110595,0.7835728957273915
led7,test_macro_f1,0.7328323721885681,0.7348341464996337,0.7345929622650147,0.7330647826194763,0.7274859786033631,0.7312878370285034,0.7376293029345217
mofn,test_macro_f1,1.0,1.0,1.0,1.0,0.43796330094337466,1.0,0.9672415392795235
nursery,test_macro_f1,0.8806911110877991,0.9998494148254394,0.9998494029045105,0.9994118928909301,0.1250090345740318,1.0,0.97561466864997
parity5p5,test_macro_f1,0.49767515659332273,0.7322182476520538,0.43522973656654357,0.5019127309322358,0.3333260118961334,0.46849243640899657,0.5170699543763903
phiusiil_phishing,test_macro_f1,0.9990905523300171,0.9997699409723282,0.9999350309371948,0.9999296188354492,0.5227344930171967,0.9999079823493957,0.9999891738683317
ppd,test_macro_f1,0.42261539697647094,0.41800001859664915,0.40780380368232727,0.42261539697647094,0.42261539697647094,0.41200933456420896,0.38758234519104084
primary_tumor,test_macro_f1,0.39037930965423584,0.3309151649475097,0.39160286784172055,0.3962100982666016,0.03987201601266856,0.41248211860656736,0.39084137711613276
ptumor,test_macro_f1,0.7771297574043274,0.7049763262271881,0.7191941857337951,0.7879911541938782,0.42978071570396426,0.767958915233612,0.7140027886035478
rt_iot2022,test_macro_f1,0.6611219763755798,0.12145000249147411,0.9287968575954437,,0.9246814846992493,0.9412633538246155,0.9683531364766166
secondary_mushroom,test_macro_f1,0.8618748307228088,1.0,0.9997928142547607,1.0,0.356878650188446,0.9999585628509522,0.9997306518804765
sensorless_drive,test_macro_f1,0.8228485703468322,0.9467083215713501,0.9836762189865113,0.9887161970138549,0.0151538891717791,0.9876506805419922,0.9983550615102157
sensory,test_macro_f1,0.5431714653968811,0.5176842451095581,0.5733769774436951,0.6219694375991821,0.36935979127883906,0.62019584774971,0.6624838054896367
shuttle,test_macro_f1,0.5217574000358581,0.6022536277770996,0.6976696610450744,0.6603167533874512,0.1257371813058853,0.662307333946228,0.8853632889298524
skin_segmentation,test_macro_f1,0.8799906224012375,0.9989390015602112,0.98532475233078,0.9852932333946228,0.9851750582456589,0.9852847337722779,0.9992095739046682
three_of_nine,test_macro_f1,0.810745632648468,0.9531346559524536,0.8130396842956543,0.9237040519714356,0.3481651067733765,0.9166792869567871,0.9581262911877519
vehicle,test_macro_f1,0.8054256916046143,0.8617821216583252,0.7756637930870056,0.7874170422554017,0.5907109677791595,0.8289971232414246,0.7753030303030303
xd6,test_macro_f1,0.7798059344291687,1.0,0.9525618076324462,1.0,0.40076865553855895,1.0,1.0
AVERAGE,test_macro_f1,0.6684324359701526,0.7217354991262959,0.7395318155327151,0.7401421854893366,0.47077053952962156,0.7585927295107995,0.7566529228094905
asia_lung,test_macro_precision,0.9997326374053955,0.9997326374053955,0.9995989561080932,0.9997326374053955,0.9997326374053955,0.9978807926177978,0.9997326203208555
balance_scale,test_macro_precision,0.5796710014343261,0.9625630259513855,0.8588446497917175,0.5953961730003356,0.6641007900238037,0.7374171137809753,0.5640766065044223
car_evaluation,test_macro_precision,0.7873551249504089,0.9676089763641358,0.8954322457313537,0.9047582864761352,0.9267274141311646,0.9294585585594177,0.9437562861015023
census_income_kdd,test_macro_precision,0.8439773678779602,0.8417887568473816,0.8298138737678528,0.8264898896217346,0.7396270781755447,0.826951265335083,0.8390832181750852
cleveland,test_macro_precision,0.3135600566864013,0.12365041226148601,0.3151309818029403,0.223243635892868,0.10865646153688427,0.35658892095088957,0.22630701865184624
conf_ad,test_macro_precision,0.435880571603775,0.43653846383094785,0.43653846383094785,0.5075970232486725,0.5878847718238831,0.506904023885727,0.4344153653364179
connect_4,test_macro_precision,0.6120503902435303,0.7226816654205322,0.6774662733078003,0.6748606324195862,0.21943653225898738,0.7249608993530273,0.6660124402432803
coronary,test_macro_precision,0.4293969690799712,0.4293969690799712,0.4293969690799712,0.4293969690799712,0.4293969690799712,0.4293969690799712,0.7815666828040939
credit_approval,test_macro_precision,0.7459321200847626,0.7663214683532715,0.868126368522644,0.8713835000991821,0.27717444896697996,0.8759695529937744,0.8881790714130633
dmft,test_macro_precision,0.22797104120254513,0.1592246189713478,0.22973523139953614,0.24633869826793667,0.08479837253689762,0.2514500349760055,0.24315088239824342
german_gss,test_macro_precision,0.8482609391212463,0.8566054224967956,0.8535179376602173,0.8735082268714904,0.8558574199676514,0.8794978260993958,0.8757934370421957
hayesroth,test_macro_precision,0.6275757700204849,0.5549807474017143,0.7197521716356278,0.8179629445075989,0.6906552731990814,0.8260052561759949,0.807185592185592
house_votes_84,test_macro_precision,0.9036511480808258,0.9528197288513184,0.9297908306121826,0.9584860801696777,0.30747411251068113,0.9516527056694031,0.9526219667943806
krkopt,test_macro_precision,0.41004623770713805,0.7833022117614746,0.7659451961517334,0.7116787552833557,0.5260218858718873,0.791246235370636,0.8046366215494766
led7,test_macro_precision,0.7396424770355224,0.7396368384361267,0.7439514636993408,0.7416968226432801,0.7348910927772522,0.738217568397522,0.7477137763060078
mofn,test_macro_precision,1.0,1.0,1.0,1.0,0.3896226465702057,1.0,0.986470219666814
nursery,test_macro_precision,0.9016510844230652,0.9998459100723267,0.9998496294021606,0.9998496294021606,0.0833413705229759,1.0,0.984253298354378
parity5p5,test_macro_precision,0.5152607142925263,0.6989130496978759,0.4591673731803894,0.5035152077674866,0.24999999999999994,0.4791236579418182,0.5195131617204832
phiusiil_phishing,test_macro_precision,0.9991000533103943,0.9997913837432861,0.9999365925788879,0.9999350666999817,0.46434603631496424,0.9999134302139282,0.9999907313003986
ppd,test_macro_precision,0.3661904811859131,0.36428571939468385,0.3604212522506714,0.3661904811859131,0.3661904811859131,0.36142857670783995,0.35155677655677653
primary_tumor,test_macro_precision,0.3953234136104583,0.31992168426513673,0.39952516555786133,0.3958838403224945,0.025541126355528798,0.42624693512916567,0.3897302697302697
ptumor,test_macro_precision,0.8261670947074891,0.7842438161373139,0.7962907671928405,0.829924738407135,0.3768686950206756,0.7977411031723023,0.838767246800046
rt_iot2022,test_macro_precision,0.6475890874862671,0.12237875163555141,0.9728409349918365,,0.968880808353424,0.9749390959739686,0.9836700216217393
secondary_mushroom,test_macro_precision,0.8612289786338806,1.0,0.9997928977012634,1.0,0.27745824456214907,0.999963128566742,0.9997466456550322
sensorless_drive,test_macro_precision,0.8391549229621887,0.9480997562408447,0.9837104082107544,0.9887559533119201,0.008265875279903339,0.9876701474189759,0.9983575765441707
sensory,test_macro_precision,0.5520710587501526,0.492690896987915,0.5981324434280395,0.663818895816803,0.2928471148014068,0.6494075059890747,0.6952829227959765
shuttle,test_macro_precision,0.6191556096076966,0.6194558262825012,0.7683178782463074,0.6837188363075256,0.11228140294551844,0.6773597478866578,0.9287322873065478
skin_segmentation,test_macro_precision,0.8743358850479126,0.9983758926391602,0.9899982690811158,0.9899760127067566,0.9899569302797318,0.9899907231330871,0.9989295413651554
three_of_nine,test_macro_precision,0.8139017343521118,0.9543557167053223,0.8166990518569947,0.928493595123291,0.26707317829132077,0.9192848682403565,0.9617742620669449
vehicle,test_macro_precision,0.8383333444595337,0.8849999904632568,0.8233333468437195,0.8299999952316284,0.6629762053489685,0.8566666722297669,0.8099999999999999
xd6,test_macro_precision,0.8060019731521606,1.0,0.9563130259513855,1.0,0.3344044744968414,1.0,1.0
AVERAGE,test_macro_precision,0.6890377189843885,0.7252971076676922,0.7573345370831028,0.7520864175756773,0.45233838227727724,0.7723655908338486,0.7813227918487482
asia_lung,test_macro_recall,0.9962264060974121,0.9962264060974121,0.9943396091461182,0.9962264060974121,0.9962264060974121,0.9960925340652466,0.9962264150943397
balance_scale,test_macro_recall,0.6262103199958802,0.949896490573883,0.7812937736511231,0.6363860845565796,0.6650400876998901,0.6772356033325195,0.6102991057662658
car_evaluation,test_macro_recall,0.615921926498413,0.9818617820739746,0.868572449684143,0.8687891840934754,0.9174863457679748,0.9436874508857727,0.9128646279098875
census_income_kdd,test_macro_recall,0.6912598848342896,0.7126647710800171,0.6759910821914673,0.6847838044166565,0.6336812227964401,0.6868939399719238,0.71774587494718
cleveland,test_macro_recall,0.30708831250667573,0.2088461577892303,0.31490312516689295,0.2553276419639587,0.20000000298023218,0.31206837594509124,0.23548433048433043
conf_ad,test_macro_recall,0.49428571462631227,0.5,0.5,0.5371428608894349,0.5136134445667266,0.531260508298874,0.48243697478991593
connect_4,test_macro_recall,0.5182756185531616,0.696800696849823,0.6098974347114563,0.6204609274864197,0.3333333432674408,0.6972529649734497,0.5908076974220656
coronary,test_macro_recall,0.5,0.5,0.5,0.5,0.5,0.5,0.5175827353982179
credit_approval,test_macro_recall,0.7264371633529663,0.7238652110099792,0.8630452513694763,0.8590592861175537,0.5,0.8687467932701111,0.8781572648096786
dmft,test_macro_recall,0.24472982883453365,0.2339139729738235,0.2231178402900696,0.23631707727909088,0.1913243144750595,0.23708662688732143,0.24525477329687853
german_gss,test_macro_recall,0.7722584962844848,0.8506938695907593,0.8327483057975769,0.8557006597518921,0.8537686824798584,0.8638367414474487,0.8055782312925169
hayesroth,test_macro_recall,0.5964814782142639,0.622777795791626,0.6961111128330231,0.7427777767181396,0.6396296381950378,0.7694444537162781,0.787037037037037
house_votes_84,test_macro_recall,0.8994507938623428,0.9530330896377563,0.9287735223770142,0.9538381218910217,0.5,0.9491869568824768,0.9530330995447274
krkopt,test_macro_recall,0.40117092728614806,0.7480230212211609,0.7334271669387817,0.6892379999160767,0.4968802571296692,0.7621864438056946,0.7713720027945434
led7,test_macro_recall,0.7361318826675415,0.7371860623359681,0.7382049202919007,0.735351049900055,0.7290943145751954,0.7346920371055603,0.738741705745216
mofn,test_macro_recall,1.0,1.0,1.0,1.0,0.5,1.0,0.9508788159111934
nursery,test_macro_recall,0.8654949545860291,0.9998533725738525,0.9998494029045105,0.9989832878112793,0.25,1.0,0.9679101416700557
parity5p5,test_macro_recall,0.5108892798423768,0.7988764047622681,0.46708291172981264,0.5034440636634827,0.5,0.47981191277503965,0.519667860229658
phiusiil_phishing,test_macro_recall,0.9990812540054321,0.9997485131025314,0.9999334692955018,0.9999241828918457,0.6248452216386795,0.9999025225639343,0.9999876176324914
ppd,test_macro_recall,0.5,0.49090909361839297,0.4718181788921356,0.5,0.5,0.4800000011920929,0.4336363636363637
primary_tumor,test_macro_recall,0.4199234127998352,0.381295371055603,0.4215384662151337,0.4261005759239197,0.0909090936183929,0.4374125897884369,0.4197202797202797
ptumor,test_macro_recall,0.7555883049964904,0.69378182888031,0.6967971205711365,0.7651702046394349,0.5,0.7529750823974609,0.6859153042079871
rt_iot2022,test_macro_recall,0.7017022371292114,0.1411588594317436,0.9075659811496735,,0.9097296714782714,0.9223702430725098,0.9578907923641973
secondary_mushroom,test_macro_recall,0.8628394722938537,1.0,0.9997928023338318,1.0,0.5,0.9999540090560913,0.9997147319467563
sensorless_drive,test_macro_recall,0.8264556765556336,0.9467586278915405,0.9836777806282043,0.9887197852134705,0.0909090936183929,0.9876517176628112,0.9983549267688888
sensory,test_macro_recall,0.573264354467392,0.5693132519721985,0.5942795038223266,0.6286999464035035,0.5,0.6365422129631042,0.6614859799070325
shuttle,test_macro_recall,0.5368817567825317,0.6074642539024353,0.6681045293807983,0.6477148175239563,0.1428571492433548,0.659131932258606,0.8667085927984948
skin_segmentation,test_macro_recall,0.8860933631658554,0.9995046496391297,0.9808223724365235,0.9807822823524475,0.9805717468261719,0.9807518482208252,0.9994903159849565
three_of_nine,test_macro_recall,0.8105661153793335,0.952817964553833,0.8129445433616638,0.923075008392334,0.5,0.9167213678359986,0.9579246946444009
vehicle,test_macro_recall,0.8133333325386047,0.8583333492279053,0.7883333325386047,0.7933333396911622,0.6383333325386047,0.8383333325386048,0.78
xd6,test_macro_recall,0.767542016506195,1.0,0.9499246001243591,1.0,0.5,1.0,1.0
AVERAGE,test_macro_recall,0.6759865898278451,0.737277576375392,0.7420287287042986,0.7442448791861535,0.5289752699675099,0.7619751678359125,0.7561905901211471
asia_lung,test_weighted_f1,0.9994977712631226,0.9994977712631226,0.9992466568946838,0.9994977712631226,0.9994977712631226,0.9992488622665405,0.9994977862716994
balance_scale,test_weighted_f1,0.8314624905586243,0.9795407891273499,0.9279302477836608,0.8501433491706848,0.8616873621940613,0.8850824117660523,0.8105403953675676
car_evaluation,test_weighted_f1,0.874880027770996,0.9871200203895569,0.9471207737922669,0.9604450225830078,0.9719253540039062,0.9726273655891419,0.9658396372577954
census_income_kdd,test_weighted_f1,0.9464783787727356,0.949211835861206,0.9433547377586364,0.9443159699440002,0.93467678129673,0.9446494340896606,0.9496492686187405
